id,adjustment_type,highest_finish,is_eligible,points,position,round_id,round_number,season_id,session_id,session_number,team_id,win_count,year
197741,0,,f,0,,105,3,,313,3,80,0,1962
197742,0,1,t,20,1,106,4,,316,3,34,1,1962
197743,0,1,t,17,2,106,4,,316,3,59,1,1962
197744,0,1,t,15,3,106,4,,316,3,74,1,1962
197745,0,2,t,14,4,106,4,,316,3,6,0,1962
197746,0,1,t,12,5,106,4,,316,3,57,1,1962
197747,0,4,t,7,6,106,4,,316,3,81,0,1962
197748,0,,f,0,,106,4,,316,3,7,0,1962
197749,0,,f,0,,106,4,,316,3,82,0,1962
197750,0,,f,0,,106,4,,316,3,55,0,1962
197751,0,,f,0,,106,4,,316,3,58,0,1962
197752,0,,f,0,,106,4,,316,3,80,0,1962
197753,0,1,t,24,1,107,5,,319,3,74,2,1962
197754,0,1,t,23,2,107,5,,319,3,34,1,1962
197755,0,1,t,21,3,107,5,,319,3,59,1,1962
197756,0,2,t,14,4,107,5,,319,3,6,0,1962
197757,0,2,t,13,5,107,5,,319,3,81,0,1962
197758,0,1,t,12,6,107,5,,319,3,57,1,1962
197759,0,11,f,0,,107,5,,319,3,55,0,1962
197760,0,,f,0,,107,5,,319,3,7,0,1962
197761,0,,f,0,,107,5,,319,3,82,0,1962
197762,0,,f,0,,107,5,,319,3,58,0,1962
197763,0,,f,0,,107,5,,319,3,80,0,1962
197764,0,,f,0,,107,5,,319,3,77,0,1962
197765,0,1,t,31,1,108,6,,322,3,34,2,1962
197766,0,1,t,27,2,108,6,,322,3,74,2,1962
197767,0,1,t,23,3,108,6,,322,3,59,1,1962
197768,0,2,t,19,4,108,6,,322,3,81,0,1962
